ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,resp_filenames,podejrzany_user_agent,podejrzany_uri
1425567244.078922,CzNz1R3gLgwcneDVU3,192.168.0.51,50665,192.168.0.1,80,1,GET,192.168.0.1,/dira0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FE7jry3zgYrROxIwr'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567243.9074,CoNw0032FFqHzdDkFi,192.168.0.51,50657,192.168.0.1,80,1,GET,192.168.0.1,/space.htm,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,0,200.0,OK,[],,,,,http://192.168.0.1/,,Nie,Nie
1425567244.125718,CjHHm7wjHBC0220Aa,192.168.0.51,50667,192.168.0.1,80,1,GET,192.168.0.1,/valChk.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FacQ751rTKOq8UPash'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567243.951904,CgiyYv1PAjnblojpN5,192.168.0.51,50663,192.168.0.1,80,1,GET,192.168.0.1,/dirary0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,3945,200.0,OK,[],['FIeiLQ3yWXrUZEaTg6'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567243.951476,CdUJQk3r7naCsrWCH7,192.168.0.51,50661,192.168.0.1,80,1,GET,192.168.0.1,/ui.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FrUBRy14SZgUB07ul7'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.097653,Cei9873LYLJXIoJlWk,192.168.0.51,50666,192.168.0.1,80,1,GET,192.168.0.1,/daj.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,2698,200.0,OK,[],['FibROBOYFFFEQB2Pe'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.154386,CfpS6y1IdQSRQzmkbj,192.168.0.51,50669,192.168.0.1,80,1,GET,192.168.0.1,/shelp_us.js?rc=1425567244097,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FECIvM1IbZQfnpfkt3'],,,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.135069,CxmUBb26CLGYSUTd41,192.168.0.51,50668,192.168.0.1,80,1,GET,192.168.0.1,/dir.css,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Ffx1fV3b8UbB6J11Xg'],['text/plain'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.303995,CRVs4I382fdSOlqw85,192.168.0.51,50672,192.168.0.1,80,1,GET,192.168.0.1,/head.jpg,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F1kb2413mK9HwKQB33'],['image/jpeg'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
1425567244.304282,C9ppQf4cHjYxQZa4Sd,192.168.0.51,50673,192.168.0.1,80,1,GET,192.168.0.1,/tail.gif,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,573,200.0,OK,[],['FraOv03kWmkgFO8a0b'],['image/gif'],,,http://192.168.0.1/wanst.htm,,Nie,Nie
