ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428895252.323805,FWTt334Jc39FX36Dk8,CPphUFfgpCBvEZXna,192.168.0.51,33210,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428895252.663762,FNIV7a4TOssjOVFYZ1,CPphUFfgpCBvEZXna,192.168.0.51,33210,74.125.232.115,80,HTTP,0,[],1.5974044799000003e-05,False,False,1771,0,0,False,1771.0,image/jpeg,,Nie
1428895689.437179,FIoozD1feHw24x7DC8,CKiIMkIL2lD0SUS0b,192.168.0.2,36033,108.61.16.227,80,HTTP,0,[],0.0,False,False,537,0,0,False,,text/plain,,Nie
1428895689.740356,FiMuEl3xQrG3yBpC83,CJJwSh7wKmjNci5n1,192.168.0.2,36034,108.61.16.227,80,HTTP,0,[],0.0,False,False,577,0,0,False,,text/plain,,Nie
1428895690.077165,FlyAbV2tZ64aeoDHef,CPEjXe6pe9AwTHvtk,192.168.0.2,36035,108.61.16.227,80,HTTP,0,[],0.0,False,False,587,0,0,False,,text/plain,,Nie
1428896240.684953,FKMmleMQmXUTNPa59,CuRasQKX0lzxYJf7,192.168.0.54,52638,137.116.224.167,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
1428896993.038105,FunbEb1BF4Q1Gbirlj,CQxlCNoc1ZwCMhfs7,192.168.0.51,33215,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428896993.228766,Fvadiv4patXJgYUJfb,CQxlCNoc1ZwCMhfs7,192.168.0.51,33215,74.125.232.115,80,HTTP,0,[],1.8119812011000002e-05,False,False,2654,0,0,False,2654.0,image/jpeg,,Nie
1428898204.235179,Fv1UtT1WjxxH5Ea0ja,CL0Z1V1fOMSJQPPRyc,192.168.0.54,52679,198.199.14.134,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428898332.515782,FzZmVC2EPQCtXczePf,CY59PO3HS2XcGvu9xa,192.168.0.54,52682,198.199.14.15,80,HTTP,0,[],0.201673984527587,False,False,25750,1400,0,False,,,,Nie
1428898733.562731,FSGonUVZHRuW68F5h,CNTW731NU0un7JU2Aa,192.168.0.51,33221,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428899507.567088,FmxKfP3uJWz93q5alc,CC3PYq40eaVWDt5vv3,192.168.0.54,52700,198.199.14.134,80,HTTP,0,[],0.005839109420776,False,False,14114,0,0,False,,,,Nie
1428899842.381358,FSOIyT1VRb4yUTaW4g,CYfuJF22I8L5o3ZHjc,192.168.0.54,52713,137.116.224.167,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
1428899933.597558,FOD6TP3cdijVF4CApg,CMwn971Ot0q1Y3ioe6,192.168.0.53,3359,212.227.17.187,110,POP3,0,[],2.8610229490000004e-06,False,False,1011,0,0,False,,text/plain,,Nie
1428899933.597561,FwHHuy1Ejr7e1PWxKe,CMwn971Ot0q1Y3ioe6,192.168.0.53,3359,212.227.17.187,110,POP3,0,[],0.05518913269042901,False,False,9571,0,0,False,,text/html,,Nie
1428900474.552831,Fmr5nl2bjiBV02RND7,CO162r3t8ObBPU8Nk5,192.168.0.51,33227,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428900474.615742,FVUtqu3GQZmtypaN32,CO162r3t8ObBPU8Nk5,192.168.0.51,33227,74.125.232.115,80,HTTP,0,[],9.059906005e-06,False,False,2325,0,0,False,2325.0,image/jpeg,,Nie
1428900621.344496,FC0ou21xqQTxW0DuY8,CNQKQG2wxdWm9KNLzg,192.168.0.54,52727,157.56.114.104,80,HTTP,0,[],0.0,False,False,9,0,0,False,9.0,,,Nie
1428901264.650407,FcrQHi3Wyayf6gbCzh,CZqwNe45kl92QJbo6c,192.168.0.54,52740,198.199.14.136,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428902113.222807,FLvodc3lpLWvRO65Xk,CeZX7t4xdKjlp6FKdl,192.168.0.54,52762,198.199.14.15,80,HTTP,0,[],0.21273398399353002,False,False,25750,1400,0,False,,,,Nie
1428902215.430905,F0ZVfW3uoBcYqmrCod,CgKaf51UkUygm66iQ,192.168.0.51,33233,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428903468.194933,FZkERCG6zVI6Lafs4,CPAwQs32wRRjSoyuG3,192.168.0.54,52792,198.199.14.136,80,HTTP,0,[],0.005850076675415,False,False,14114,0,0,False,,,,Nie
1428903955.990004,Fyicr14SS2Gp0TbXOh,C30EDq3WJx3ypS1hQb,192.168.0.51,33240,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428903956.046091,Frzpa233R20R6AlLLl,C30EDq3WJx3ypS1hQb,192.168.0.51,33240,74.125.232.115,80,HTTP,0,[],8.821487426000001e-06,False,False,1917,0,0,False,1917.0,image/jpeg,,Nie
1428904224.882957,Fy2LZBPWKLoK0G201,CC4XxjFBsmVd0YB27,128.61.240.66,60000,192.168.0.2,80,HTTP,0,[],0.48844099044799805,True,False,1041,0,0,False,1041.0,text/html,,Nie
1428904790.167199,FUJEPBLGCbLX2uT4j,CAp1Ea2pnK220p0c14,141.212.122.66,38045,192.168.0.2,80,HTTP,0,[],0.0,True,False,1041,0,0,False,1041.0,text/html,,Nie
1428905045.064111,FibI7T6BCOeZTl9Z4,CnuaBg2wkCzzf9AhT3,192.168.0.54,52826,198.199.14.136,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428905696.56181,FyRVzS1dXI6IEKXL23,CHWJVC3ctFhlmLAde,192.168.0.51,33246,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428905893.922158,FZCQmM1gPFCTzLU1m8,CFSmT81VqEBJpiFIH1,192.168.0.54,52842,198.199.14.15,80,HTTP,0,[],0.163311958312988,False,False,25750,1400,0,False,,,,Nie
1428907043.94252,Filwgr4NJ9oB5k6rrh,CJ9SLMziXKL03vcU8,192.168.0.54,52865,137.116.224.167,443,SSL,0,['OCSP_REPLY'],0.0,False,False,1757,0,0,False,,application/ocsp-response,,Nie
1428907437.285883,F8ZECW3Lw8AqgzzgL8,CMo34uUbM1fI93bEc,192.168.0.51,33253,74.125.232.115,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428907548.93047,FH6ZVq2GfIQBasTWw7,CTW4Y81Boq2MqqPSG8,192.168.0.54,52873,198.199.14.136,80,HTTP,0,[],0.0033159255981440004,False,False,14114,0,0,False,,,,Nie
1428909177.678176,F1SvTB1x9DhwonqFS9,CxqGSX1rFNitYznvE5,192.168.0.51,45438,216.58.209.132,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428909178.232749,FxjkDl7DVKs2gp843,CxqGSX1rFNitYznvE5,192.168.0.51,45438,216.58.209.132,80,HTTP,0,[],9.059906005e-06,False,False,1860,0,0,False,1860.0,image/jpeg,,Nie
1428909674.535766,FnJQEv2pJ8ES4jFn5l,CLPsHV1h7dSIKmi847,192.168.0.54,52923,198.199.14.15,80,HTTP,0,[],0.16500115394592202,False,False,27150,0,0,False,,,,Nie
1428909845.37065,FIfqhg0jyBU4BcDW,CO6Yra2EPc8txNyvoa,192.168.0.54,52927,198.199.14.136,80,HTTP,0,[],0.0,False,False,93,0,0,False,93.0,,,Nie
1428910918.636915,F4rzDr46hOPJnv8Ini,CClyHM2b5UjrfLvZFi,192.168.0.51,45445,216.58.209.132,80,HTTP,0,[],0.0,False,False,341,0,0,False,,text/plain,,Nie
1428910930.477516,FF2Jxo52hHkfnC6Ga,C6FfK935R4Q6X8Xn8k,61.160.195.10,1285,192.168.0.2,80,HTTP,0,[],0.0,True,False,212,0,0,False,212.0,text/html,,Nie
1428910931.117889,Fmsgvp47PnKLgsysma,C6FfK935R4Q6X8Xn8k,61.160.195.10,1285,192.168.0.2,80,HTTP,0,[],0.0,True,False,205,0,0,False,205.0,text/html,,Nie
1428910931.758601,F3utT1Nej71cHoza,C6FfK935R4Q6X8Xn8k,61.160.195.10,1285,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910962.477906,FpzEu24aq8VVtB3nId,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428910967.086637,F61aZb1ZhnJZkWZcJ6,Ck7pti4XP3dl5xphL6,61.160.195.10,4559,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
