ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,kategoria,long_duration,large_transfer,resp_p,kategoria_portu,abuse_score_orig_h,abuse_score_resp_h
1428883219.862953,CCZDyMqaLe5F0zRE3,gAAAAABnVyhg3D9MFrHUgBPswJ4Bg9FtuOCqqu7fsT66aJdQ5F79uakqhHjwG5ktlaaJmnVO_zN23cVAdQ0zI0ugVdqFNnMZwQ==,52352,gAAAAABnVyhgs0T6w5x0NWTmVOqCM2jzyAi3_Qc8B9mxxGO6QCtfMmr3vhcHewFuf01y0pObxpyRAl1OSqPUcxBDqRCbnQQ4eg==,443,tcp,,65.69436812400818,1.0,0.0,SF,True,False,0,DaTfAFr,5,202,5,224,Zewnetrzne,Tak,Nie,443,Standardowy,Brak API,Brak API
1428883291.458329,CAYja89M2CErj2sh1,gAAAAABnVyhgJ-0VyZw4fwV_ltpghZjTEG_teH-MmYFf1zW1C_vJX7ONbZeLSVjsXQO26xjgAyiHHr7GCRlKfE_Dmv2r8G-BYg==,52679,gAAAAABnVyhgDYJFklOLZZkf5PcdRM84KXUdrUWY4q_Eb2cECkQqcgVcyU9WQwpgqeitvezvNT_gIwC7dhnDHf57JLWCOt7DcA==,53,udp,dns,0.0015299320220940001,33.0,76.0,SF,True,True,0,Dd,1,61,1,104,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.709442,CJUzR13ZhrRYIHqwXk,gAAAAABnVyhgj03BS0s4rToLeBMJq4XJIbJvX-end16T2z658g86TfuI93kk8k_SMxQOSUk-LQcVBcEgcyqRCP4t3c6dNNX-ew==,137,gAAAAABnVyhghg5rpjypHEF2vHfBTP9gKoFDJjC_KrnqihgEdOvu7CWb9GuHVNBcxhj65hBokrC5sfAKeREefFPKOELNKN1QRw==,137,udp,dns,,,,S0,True,True,0,D,1,78,0,0,Zewnetrzne,Nie,Nie,137,Standardowy,Brak API,Brak API
1428883308.718177,CbBOlh4EZPYx2pjFD6,gAAAAABnVyhg1yaxfbiSsMvPsN7bzfV31iddAOvp44siYiIsc1jupEtpsh15LS9raxX4_KLqTpHhuqqxPcJLii-dV9aYYea-AQ==,8619,gAAAAABnVyhglDDklQ3DaozY9ONJp2rgvbUbTm6JKEiFZMoLASCTsiAXCCBIdxntlm1NBBi5ElU10O9lbE863sg9ckD3dEXG2A==,53,udp,dns,0.09757280349731401,42.0,118.0,SF,True,True,0,Dd,1,70,1,146,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.718187,C7wdE819PykK5795I2,gAAAAABnVyhgCfduaWiPsOjEXl7Z8QEYddAkteR_B8bfe8QZ5Ei5Z9qGdEQJYQZvykutXTB_XbKoQXqcfaRokP0QUriQAqvp9g==,63203,gAAAAABnVyhgkekCl2IKAK7eTcBezSDd6Q4nsipeHqJPVUaaxETUdXWD2h-qe7x7J1_Me4mzdenR_8HOrLU-i6TWCLNF_rODaA==,53,udp,dns,0.09628891944885201,42.0,118.0,SF,True,True,0,Dd,1,70,1,146,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.815758,CVIpT43pej6L5ZUgjf,gAAAAABnVyhgBcSMELtZms5Mq2yrZDKnGIB1vQfBSwCDC35D-u5yV1i916UzPub7YbT9WBF7j8W2W3ShTTgGSoQAfm-hPUTARQ==,25998,gAAAAABnVyhgUidltfRc5IDWAFXjF5BZ3mpJAkUK0OvmZ4KQiIKPCaZiRtSXu5HElwdSEY9bypJy5U4LASy9kixmwrmEcUpH-w==,53,udp,dns,0.044219970703125,33.0,108.0,SF,True,True,0,Dd,1,61,1,136,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.815761,CeRb9I2lJcMAjlSK4g,gAAAAABnVyhgYniUcOd1u_RbBf_YSY8ScP_ZTLtmF1RAzCcJI7eptZ9KqZFnrPERDYdL6a9CpLMpRNgzS7YskzlHq8gl3IJpdA==,18019,gAAAAABnVyhg3iNT-Q81JYqtzp4yOS0wssS83L9GmAdhj9ah3Tltz7yZSc0Qzv0um5y-ltgiSQcdY9UYPvWAJXsY3HcjEE4qSA==,53,udp,dns,0.044585943222045,33.0,108.0,SF,True,True,0,Dd,1,61,1,136,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.86074,CNIkRC2MoycZl3WXxg,gAAAAABnVyhgpzowdWVz0Bk5TS1mg9w737deqBoPaOXGSPXQdjnOzC0h50MEz0Amie1FnNdvhWU5skhtbs8dB-cqs_BJKHeP4g==,16086,gAAAAABnVyhgO1DP6M47HOZ3IcBNjQh-st2htjgrDdkG1-XwjyLI3QI4d8tKXahVBvrAh13684kbiCH-b3VHZtPtZ6iTLstvvQ==,53,udp,dns,0.037966012954711005,42.0,118.0,SF,True,True,0,Dd,1,70,1,146,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.860748,CgVhAX2ELgCaQcCpGd,gAAAAABnVyhgbSsEoQ0Y8h5UcFJ-wfG50mFCQ0pNPlyofT1ksA60aJ64V1Wj-ZDjinkmDJ2jWZ8kb8NDttnQ8YahZaYeLLDkPw==,16980,gAAAAABnVyhgXlMl9v2LmFzeVfg-FNevr5ydSKeKdp9-Wwt1H0Xo0_FQPzyjSmbrcPhAGjD5W96lx-ie7Y42759_HZSmeVX9sA==,53,udp,dns,0.038285970687866,42.0,118.0,SF,True,True,0,Dd,1,70,1,146,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883308.899043,CXnBMrH5udk8zDkNl,gAAAAABnVyhgxP9NoMzv6SvMIiuBpbUszZGcPX_ZtQ_XELbUYMJH9CIr5waSOC2PNv4LdzunyOsQmc_nafnbhlC2CDemJ7nJdw==,40632,gAAAAABnVyhgse1Ss6910362uRBfkrB5npzQE1XAtWQVWv2GPDEcNSTH-O8Xan03ktP3Z4ep4D_dPr9gCn7QptJacKMY4QhNaA==,53,udp,dns,0.038389921188354,33.0,108.0,SF,True,True,0,Dd,1,61,1,136,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
