Czas,Kierunek,Protokol,Zrodlo IP,Zrodlo port,Cel IP,Cel port,Dlugosc,Kategoria
2005-01-14 02:51:29.631766,Wychodzace,TCP,192.168.1.2,1110,83.170.75.178,80,106,HTTP
2005-01-14 02:51:29.639788,Przychodzace,TCP,83.170.75.178,80,192.168.1.2,1110,98,HTTP
2005-01-14 02:51:29.641047,Wychodzace,TCP,192.168.1.2,1110,83.170.75.178,80,94,HTTP
2005-01-14 02:51:29.642591,Wychodzace,TCP,192.168.1.2,1110,83.170.75.178,80,486,HTTP
2005-01-14 02:51:29.661128,Przychodzace,TCP,83.170.75.178,80,192.168.1.2,1110,415,HTTP
2005-01-14 02:51:32.260904,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,62,Inne
2005-01-14 02:51:32.277448,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,102,Inne
2005-01-14 02:51:32.278876,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,102,Inne
2005-01-14 02:51:32.279611,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,102,Inne
2005-01-14 02:51:32.280569,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:32.280597,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,62,Inne
2005-01-14 02:51:32.281750,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,94,Inne
2005-01-14 02:51:32.338110,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,182,Inne
2005-01-14 02:51:32.339179,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,142,Inne
2005-01-14 02:51:32.454886,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:32.456138,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,94,Inne
2005-01-14 02:51:33.819231,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:33.835582,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,98,Inne
2005-01-14 02:51:33.852914,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,295,Inne
2005-01-14 02:51:33.854228,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,255,Inne
2005-01-14 02:51:33.957053,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:33.973761,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,94,Inne
2005-01-14 02:51:33.977671,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,1105,Inne
2005-01-14 02:51:33.980541,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,1065,Inne
2005-01-14 02:51:34.157437,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:34.173670,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,94,Inne
2005-01-14 02:51:35.508954,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,61,Inne
2005-01-14 02:51:35.525480,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,101,Inne
2005-01-14 02:51:35.576374,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,201,Inne
2005-01-14 02:51:35.577470,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,161,Inne
2005-01-14 02:51:35.759660,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:35.776050,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,94,Inne
2005-01-14 02:51:42.031869,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,60,Inne
2005-01-14 02:51:42.048096,Przychodzace,TCP,192.168.1.3,1403,192.168.1.2,23,99,Inne
2005-01-14 02:51:42.052233,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,100,Inne
2005-01-14 02:51:42.053188,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,60,Inne
2005-01-14 02:51:42.053493,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,94,Inne
2005-01-14 02:51:42.054387,Wychodzace,TCP,192.168.1.2,23,192.168.1.3,1403,54,Inne
2005-01-14 02:51:52.928295,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,62,HTTP
2005-01-14 02:51:52.935084,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,102,HTTP
2005-01-14 02:51:52.936306,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,102,HTTP
2005-01-14 02:51:52.937191,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:52.937212,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,62,HTTP
2005-01-14 02:51:52.938422,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,94,HTTP
2005-01-14 02:51:52.995028,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,182,HTTP
2005-01-14 02:51:52.996103,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,142,HTTP
2005-01-14 02:51:53.184809,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:53.201224,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,94,HTTP
2005-01-14 02:51:54.447789,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:54.464070,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,98,HTTP
2005-01-14 02:51:54.516576,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,295,HTTP
2005-01-14 02:51:54.517854,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,255,HTTP
2005-01-14 02:51:54.686869,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:54.706935,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,1105,HTTP
2005-01-14 02:51:54.709658,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,1065,HTTP
2005-01-14 02:51:54.887136,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:54.905124,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,94,HTTP
2005-01-14 02:51:56.198869,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,60,HTTP
2005-01-14 02:51:56.212303,Przychodzace,TCP,192.168.1.3,1404,192.168.1.2,80,99,HTTP
2005-01-14 02:51:56.216110,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,94,HTTP
2005-01-14 02:51:56.216992,Wychodzace,TCP,192.168.1.2,80,192.168.1.3,1404,54,HTTP
